#1
float modelica(2881,12)
# time,BIG CHILLER:Chiller Electric Power [W](TimeStep),BIG CHILLER:Chiller Evaporator Cooling Rate [W](TimeStep),BIG CHILLER:Chiller Evaporator Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Condenser Heat Transfer Rate [W](TimeStep),BIG CHILLER:Chiller Condenser Inlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Outlet Temperature [C](TimeStep),BIG CHILLER:Chiller Condenser Mass Flow Rate [kg/s](TimeStep),BIG CHILLER:Chiller Source Steam Rate [W](TimeStep),BIG CHILLER:Chiller Steam Heat Loss Rate [W](TimeStep) 
60,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
60,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
120,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
180,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
240,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
300,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
360,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
420,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
480,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
540,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
600,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
660,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
720,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
780,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
840,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
900,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
960,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1020,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1080,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1140,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1200,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1260,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1320,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1380,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1440,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1500,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1560,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1620,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1680,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1740,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1800,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1860,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1920,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
1980,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2040,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2100,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2160,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2220,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2280,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2340,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2400,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2460,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2520,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2580,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2640,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2700,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2760,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2820,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2880,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
2940,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3000,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3060,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3120,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3180,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3240,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3300,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3360,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3420,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3480,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3540,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3600,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3660,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3720,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3780,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3840,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3900,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
3960,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4020,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4080,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4140,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4200,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4260,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4320,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4380,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4440,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4500,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4560,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4620,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4680,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4740,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4800,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4860,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4920,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
4980,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5040,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5100,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5160,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5220,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5280,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5340,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5400,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5460,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5520,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5580,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5640,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5700,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5760,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5820,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5880,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
5940,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6000,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6060,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6120,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6180,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6240,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6300,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6360,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6420,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6480,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6540,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6600,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6660,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6720,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
6780,0.0,0.0,14.306521,14.306521,0.0,0.0,29.916373,29.916373,0.0,0.0,0.0
